alias,midi_bank_char,midi_prog_char
a,O,a
ai,O,l
an,O,j
ang,O,h
ao,O,k
ba,B,a
bai,B,l
ban,B,j
bang,B,h
bao,B,k
bei,B,z
ben,B,f
beng,B,g
bi,B,i
bian,B,m
biang,B,d
biao,B,c
bie,B,x
bin,B,n
bing,B,;
biu,B,q
bo,B,o
bou,B,b
bu,B,u
ca,C,a
cai,C,l
can,C,j
cang,C,h
cao,C,k
ce,C,e
cei,C,z
cen,C,f
ceng,C,g
cha,I,a
chai,I,l
chan,I,j
chang,I,h
chao,I,k
che,I,e
chen,I,f
cheng,I,g
chi,I,i
chong,I,s
chou,I,b
chu,I,u
chua,I,w
chuai,I,y
chuan,I,r
chuang,I,d
chui,I,v
chun,I,p
chuo,I,o
ci,C,i
cong,C,s
cou,C,b
cu,C,u
cuan,C,r
cui,C,v
cun,C,p
cuo,C,o
da,D,a
dai,D,l
dan,D,j
dang,D,h
dao,D,k
de,D,e
dei,D,z
den,D,f
deng,D,g
di,D,i
dian,D,m
diao,D,c
die,D,x
ding,D,;
diu,D,q
dong,D,s
dou,D,b
du,D,u
duan,D,r
dui,D,v
dun,D,p
duo,D,o
e,O,e
ei,O,z
en,O,f
eng,O,g
er,O,r
fa,F,a
fai,F,l
fan,F,j
fang,F,h
fei,F,z
fen,F,f
feng,F,g
fiao,F,c
fo,F,o
fou,F,b
fu,F,u
ga,G,a
gai,G,l
gan,G,j
gang,G,h
gao,G,k
ge,G,e
gei,G,z
gen,G,f
geng,G,g
gong,G,s
gou,G,b
gu,G,u
gua,G,w
guai,G,y
guan,G,r
guang,G,d
gui,G,v
gun,G,p
guo,G,o
ha,H,a
hai,H,l
han,H,j
hang,H,h
hao,H,k
he,H,e
hei,H,z
hen,H,f
heng,H,g
hong,H,s
hou,H,b
hu,H,u
hua,H,w
huai,H,y
huan,H,r
huang,H,d
hui,H,v
hun,H,p
huo,H,o
ji,J,i
jia,J,w
jian,J,m
jiang,J,d
jiao,J,c
jie,J,x
jin,J,n
jing,J,;
jiong,J,s
jiu,J,q
ju,J,u
juan,J,r
jue,J,t
jun,J,p
ka,K,a
kai,K,l
kan,K,j
kang,K,h
kao,K,k
ke,K,e
kei,K,z
ken,K,f
keng,K,g
kong,K,s
kou,K,b
ku,K,u
kua,K,w
kuai,K,y
kuan,K,r
kuang,K,d
kui,K,v
kun,K,p
kuo,K,o
la,L,a
lai,L,l
lan,L,j
lang,L,h
lao,L,k
le,L,e
lei,L,z
leng,L,g
li,L,i
lia,L,w
lian,L,m
liang,L,d
liao,L,c
lie,L,x
lin,L,n
ling,L,;
liu,L,q
lo,L,o
long,L,s
lou,L,b
lu,L,u
luan,L,r
lun,L,p
luo,L,o
lv,L,y
lve,L,t
ma,M,a
mai,M,l
man,M,j
mang,M,h
mao,M,k
me,M,e
mei,M,z
men,M,f
meng,M,g
mi,M,i
mian,M,m
miao,M,c
mie,M,x
min,M,n
ming,M,;
miu,M,q
mo,M,o
mou,M,b
mu,M,u
na,N,a
nai,N,l
nan,N,j
nang,N,h
nao,N,k
ne,N,e
nei,N,z
nen,N,f
neng,N,g
ni,N,i
nian,N,m
niang,N,d
niao,N,c
nie,N,x
nin,N,n
ning,N,;
niu,N,q
nong,N,s
nou,N,b
nu,N,u
nuan,N,r
nun,N,p
nuo,N,o
nv,N,y
nve,N,t
o,O,o
ong,O,s
ou,O,b
pa,P,a
pai,P,l
pan,P,j
pang,P,h
pao,P,k
pei,P,z
pen,P,f
peng,P,g
pi,P,i
pian,P,m
piao,P,c
pie,P,x
pin,P,n
ping,P,;
po,P,o
pou,P,b
pu,P,u
qi,Q,i
qia,Q,w
qian,Q,m
qiang,Q,d
qiao,Q,c
qie,Q,x
qin,Q,n
qing,Q,;
qiong,Q,s
qiu,Q,q
qu,Q,u
quan,Q,r
que,Q,t
qun,Q,p
ran,R,j
rang,R,h
rao,R,k
re,R,e
ren,R,f
reng,R,g
ri,R,i
rong,R,s
rou,R,b
ru,R,u
rua,R,w
ruan,R,r
rui,R,v
run,R,p
ruo,R,o
sa,S,a
sai,S,l
san,S,j
sang,S,h
sao,S,k
se,S,e
sei,S,z
sen,S,f
seng,S,g
sha,U,a
shai,U,l
shan,U,j
shang,U,h
shao,U,k
she,U,e
shei,U,z
shen,U,f
sheng,U,g
shi,U,i
shou,U,b
shu,U,u
shua,U,w
shuai,U,y
shuan,U,r
shuang,U,d
shui,U,v
shun,U,p
shuo,U,o
si,S,i
song,S,s
sou,S,b
su,S,u
suan,S,r
sui,S,v
sun,S,p
suo,S,o
ta,T,a
tai,T,l
tan,T,j
tang,T,h
tao,T,k
te,T,e
tei,T,z
teng,T,g
ti,T,i
tian,T,m
tiao,T,c
tie,T,x
ting,T,;
tong,T,s
tou,T,b
tu,T,u
tuan,T,r
tui,T,v
tun,T,p
tuo,T,o
v,Y,u
wa,W,a
wai,W,l
wan,W,j
wang,W,h
wei,W,z
wen,W,f
weng,W,g
wo,W,o
wu,W,u
xi,X,i
xia,X,w
xian,X,m
xiang,X,d
xiao,X,c
xie,X,x
xin,X,n
xing,X,;
xiong,X,s
xiu,X,q
xu,X,u
xuan,X,r
xue,X,t
xun,X,p
ya,Y,a
yan,Y,j
yang,Y,h
yao,Y,k
ye,Y,e
yi,Y,i
yin,Y,n
ying,Y,;
yo,Y,o
yong,Y,s
you,Y,b
